GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "56000","Wyoming",7,SAINC7S,120,"...","    Forestry and fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,293,339,390,437,529,585,26,1176,944,918,1019,1600,1818,1662,1063,991,1410,1554,1651,1626,1940,2203,2590,3013,2920,4347,3186,(D),(D),4435,5052,6538,(NA)
 "56000","Wyoming",7,SAINC7S,121,"08","     Forestry","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,122,"...","     Fishing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,200,"B","   Mining","Thousands of dollars",51735,58622,57835,57672,57514,61838,60749,62593,64678,69564,86793,104194,106562,107745,123033,141487,197221,263263,332356,447559,587439,725715,898564,1044506,1002280,855847,858102,832124,681420,614588,652514,640364,693633,730401,723990,745556,756783,748765,721399,799052,797470,787432,944617,1035616
 "56000","Wyoming",7,SAINC7S,210,"10","    Metal mining","Thousands of dollars",5604,7195,8292,9404,10170,14604,12510,12863,12882,13890,17133,20983,24057,26330,28230,28565,33998,40086,60459,89721,127257,155021,165086,118707,81454,63734,42527,33930,27408,26025,25538,25788,29772,33407,27507,26542,26909,25408,26234,32315,32398,21912,19755,(NA)
 "56000","Wyoming",7,SAINC7S,220,"12","    Coal mining","Thousands of dollars",1856,1820,1938,2131,2169,1443,1597,1497,1557,1531,1545,1751,3165,5112,7981,9904,15177,24127,45670,71031,98032,120749,167244,194924,200078,206328,217845,233645,218396,196973,206695,211699,223203,232835,235062,241773,241946,250027,263543,270927,271590,275080,279148,(NA)
 "56000","Wyoming",7,SAINC7S,230,"13","    Oil and gas extraction","Thousands of dollars",40442,45063,42435,40725,39866,39590,38892,39795,40796,44237,56424,67134,63832,58471,65140,74236,107974,139428,150633,200008,259974,327561,422132,576917,562602,436785,454515,419792,292194,248644,269117,245448,274899,286238,282197,297512,306126,277621,274618,328621,328635,333262,500937,(NA)
 "56000","Wyoming",7,SAINC7S,240,"14","    Nonmetallic minerals, except fuels","Thousands of dollars",3833,4544,5170,5412,5309,6201,7750,8438,9443,9906,11691,14326,15508,17832,21682,28782,40072,59622,75594,86799,102176,122384,144102,153958,158146,149000,143215,144757,143422,142946,151164,157429,165759,177921,179224,179729,181802,195709,157004,167189,164847,157178,144777,(NA)
 "56000","Wyoming",7,SAINC7S,300,"C","   Construction","Thousands of dollars",41015,54081,73977,60736,53734,56709,59484,48910,45969,46242,54246,54289,62785,75990,92262,137392,187536,196729,208232,243265,287823,370571,410791,474781,452814,285715,291033,409149,377171,239686,225122,226259,251819,284769,282255,297335,343690,354664,367266,401082,448310,519320,550281,602662
 "56000","Wyoming",7,SAINC7S,310,"15","    General building contractors","Thousands of dollars",14683,19556,31636,25876,17786,16798,15549,11552,10381,11946,13131,11460,17156,29854,36103,55260,89273,42986,44080,48184,60190,72086,82982,74631,64871,52837,50452,56045,48287,35544,34101,33615,40968,51735,57045,65263,80608,76441,74683,85534,99788,111164,120230,(NA)
 "56000","Wyoming",7,SAINC7S,320,"16","    Heavy construction contractors","Thousands of dollars",15100,18298,24617,20782,21718,24371,25959,24025,22010,21940,26633,27395,28253,26396,31187,52266,58723,92402,87907,97451,101405,139956,153839,234999,248132,122312,132599,240029,213992,117041,103482,107681,110390,131685,115962,107005,116598,116988,132090,137857,152629,188296,193057,(NA)
 "56000","Wyoming",7,SAINC7S,330,"17","    Special trade contractors","Thousands of dollars",11232,16227,17724,14078,14230,15540,17976,13333,13578,12356,14482,15434,17376,19740,24972,29866,39540,61341,76245,97630,126228,158529,173970,165151,139811,110566,107982,113075,114892,87101,87539,84963,100461,101349,109248,125067,146484,161235,160493,177691,195893,219860,236994,(NA)
 "56000","Wyoming",7,SAINC7S,400,"D","   Manufacturing","Thousands of dollars",34663,39977,40723,45135,41129,42824,41420,42227,42729,45691,44421,48681,52524,54736,60663,70572,77231,88897,102214,114688,133894,149360,158445,179305,176217,160856,160818,161229,162334,168682,186528,194314,225726,231649,237112,249731,264974,261081,320749,333500,355375,361582,395069,406877
 "56000","Wyoming",7,SAINC7S,410,"...","    Durable goods manufacturing","Thousands of dollars",9072,13332,12046,16084,12989,14389,13353,12993,12759,16929,15435,18267,19724,21041,23894,28672,30374,32775,36968,44484,56144,64327,66312,79974,76249,69458,76537,75596,73390,75694,80414,81130,96388,96220,103167,104555,116366,116518,127377,134741,141386,145818,151024,158107
 "56000","Wyoming",7,SAINC7S,413,"24","     Lumber and wood products","Thousands of dollars",3860,4547,4933,4569,4223,4432,4589,4744,5136,5529,5955,6790,6727,7696,8479,10508,10768,10246,13465,16076,16339,17164,16855,19050,15156,16459,18748,17640,19453,22959,24248,23976,25182,23974,26940,28295,30392,28755,28356,29473,29006,30260,29303,(NA)
 "56000","Wyoming",7,SAINC7S,417,"25","     Furniture and fixtures","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),60,(D),151,173,97,825,838,570,408,555,577,791,1109,1755,1799,2246,1970,2438,(NA)
 "56000","Wyoming",7,SAINC7S,420,"32","     Stone, clay, and glass products","Thousands of dollars",2688,3166,3168,3582,3682,4011,4003,3909,3419,3822,4700,5065,5754,6087,7149,7991,8773,9708,10990,12805,18074,20850,20437,23166,24151,24228,23696,22476,20123,19614,17096,14914,15527,15679,16480,17462,19946,20280,23205,26040,27583,30104,29450,(NA)
 "56000","Wyoming",7,SAINC7S,423,"33","     Primary metal industries","Thousands of dollars",0,0,90,352,1403,902,0,0,127,167,162,173,176,174,102,142,145,121,3,219,446,536,600,1069,1016,1210,4610,(D),(D),(D),(D),5296,5395,6059,8079,8164,8963,7855,10189,10598,9247,7811,4435,(NA)
 "56000","Wyoming",7,SAINC7S,426,"34","     Fabricated metal products","Thousands of dollars",488,991,635,546,617,1024,518,546,445,461,471,737,979,1216,1480,1750,2457,3459,3099,3652,4942,7024,7551,9588,8910,7455,7292,(D),(D),7247,7718,8342,10437,10637,9563,9937,13117,13499,14000,16241,19826,22496,24597,(NA)
 "56000","Wyoming",7,SAINC7S,429,"35","     Industrial machinery and equipment","Thousands of dollars",324,376,444,441,445,392,542,556,574,880,1937,3183,4166,4783,5112,6244,5895,5918,6468,8550,12768,15071,17048,22343,22272,15280,17343,17366,15825,14843,16280,18261,28813,28213,29772,29363,30332,29445,32498,31148,30712,29355,32428,(NA)
 "56000","Wyoming",7,SAINC7S,432,"36","     Electronic and other electric equipment","Thousands of dollars",34,48,80,78,158,112,131,150,206,267,173,68,71,40,44,115,144,602,302,69,60,67,84,237,588,(D),684,808,666,628,570,(D),(D),(D),1253,1525,2348,4926,5397,5976,6562,7452,10136,(NA)
 "56000","Wyoming",7,SAINC7S,435,"371","     Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),118,95,86,163,(D),130,417,574,600,767,818,1064,1254,1397,1608,2275,(NA)
 "56000","Wyoming",7,SAINC7S,438,"372-379","     Other transportation equipment","Thousands of dollars",270,155,83,322,1184,1210,1042,778,659,1171,1099,776,390,138,267,480,807,928,829,982,1232,1235,1443,2122,1525,1560,1731,2174,2729,(D),(D),(D),(D),(D),5693,3956,4346,4230,4925,4521,5387,6153,6836,(NA)
 "56000","Wyoming",7,SAINC7S,441,"38","     Instruments and related products","Thousands of dollars",1234,1904,2055,1596,491,441,376,288,461,588,494,452,447,342,405,511,610,835,816,1020,1192,1417,1321,1104,1203,1213,1104,878,877,872,2322,2654,2890,2864,2822,2612,2670,2845,3078,4488,4806,5348,5518,(NA)
 "56000","Wyoming",7,SAINC7S,444,"39","     Miscellaneous manufacturing industries","Thousands of dollars",131,137,133,149,183,200,210,217,208,201,242,309,381,377,354,285,232,436,616,606,649,624,614,997,1264,1211,1191,1343,1481,1553,1989,1905,2024,2184,1436,2064,2694,2756,2910,3203,4614,3261,3608,(NA)
 "56000","Wyoming",7,SAINC7S,447,"...","     Ordnance 2/","Thousands of dollars",0,1713,27,4169,337,1373,1638,1530,1194,3661,192,690,611,121,196,0,0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "56000","Wyoming",7,SAINC7S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",25591,26645,28677,29051,28140,28435,28067,29234,29970,28762,28986,30414,32800,33695,36769,41900,46857,56122,65246,70204,77750,85033,92133,99331,99968,91398,84281,85633,88944,92988,106114,113184,129338,135429,133945,145176,148608,144563,193372,198759,213989,215764,244045,248770
 "56000","Wyoming",7,SAINC7S,453,"20","     Food and kindred products","Thousands of dollars",5860,6227,6939,7179,7023,7177,7964,8197,7687,7510,8381,8555,8486,8058,8576,9925,10206,12686,14375,15625,16188,17371,17522,18432,18975,17904,17470,19423,21072,20869,21945,20979,21104,20186,22148,(D),24930,24848,25163,25544,25081,28695,30263,(NA)
 "56000","Wyoming",7,SAINC7S,456,"21","     Tobacco products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "56000","Wyoming",7,SAINC7S,459,"22","     Textile mill products","Thousands of dollars",0,0,0,0,40,61,46,41,32,41,41,45,59,47,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,462,"23","     Apparel and other textile products","Thousands of dollars",27,28,27,29,24,25,24,30,24,36,37,37,50,246,732,1178,1264,1267,1414,1932,2362,2639,2538,1766,526,439,467,491,512,627,(D),(D),(D),(D),(D),(D),(D),1983,2194,2545,2475,2634,4042,(NA)
 "56000","Wyoming",7,SAINC7S,465,"26","     Paper and allied products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,468,"27","     Printing and publishing","Thousands of dollars",2856,3073,3212,3227,3236,3398,3606,3751,3858,3959,4205,4487,4715,4955,5414,5785,6390,7851,9464,10647,12202,14608,17256,19414,20747,21266,22092,22649,22420,22821,28678,29072,30752,31975,33042,33597,34018,30878,32529,32921,35015,36595,37073,(NA)
 "56000","Wyoming",7,SAINC7S,471,"28","     Chemicals and allied products","Thousands of dollars",516,752,1204,1129,1122,867,354,688,1048,1392,1449,1672,1937,2100,2338,2817,3920,4621,5207,6285,6957,7658,8555,9084,9114,7825,8215,10049,11444,13817,17620,20643,31687,34379,35908,41093,41506,41585,86182,87258,97668,99337,117845,(NA)
 "56000","Wyoming",7,SAINC7S,474,"29","     Petroleum and coal products","Thousands of dollars",16331,16559,17286,17473,16683,16894,16055,16490,17287,15778,14799,15519,17305,18006,19103,21253,24060,28882,33849,34672,38462,40693,44160,48272,48064,41587,33546,30410,30121,30889,31556,35470,38216,41611,35741,36945,37756,36025,37580,39092,42122,41630,47326,(NA)
 "56000","Wyoming",7,SAINC7S,477,"30","     Rubber and miscellaneous plastics products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2999,4192,4612,5061,4965,4822,6201,7073,7769,8183,9166,9695,4677,5040,(NA)
 "56000","Wyoming",7,SAINC7S,480,"31","     Leather and leather products","Thousands of dollars",1,3,3,4,4,3,7,14,17,25,27,22,29,40,51,78,86,7,13,23,193,355,399,525,372,229,186,165,752,966,1057,958,1051,1013,1005,1076,1156,1075,1124,1191,1173,1248,1329,(NA)
 "56000","Wyoming",7,SAINC7S,500,"E","   Transportation and public utilities","Thousands of dollars",58605,61640,65499,66019,67253,67386,70483,71556,71015,72877,77543,84235,92336,98919,109110,126444,145801,163637,186919,210634,252052,309476,363613,425174,431704,420579,433914,438993,419684,417169,435631,446487,469245,491363,509018,522880,527072,531929,531603,553074,587852,611633,615088,603361
 "56000","Wyoming",7,SAINC7S,510,"40","    Railroad transportation","Thousands of dollars",31487,31752,31210,29628,30631,30596,32566,33532,33145,33471,33312,34893,37967,40009,43389,47786,51691,51165,60812,69062,83078,103730,113919,120413,119199,118624,125678,123858,119413,117049,115420,121253,131342,144331,151558,150555,155045,169424,175036,179375,(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,520,"42","    Trucking and warehousing","Thousands of dollars",7832,9304,11631,10769,10334,9541,9385,9741,9835,10390,12797,15212,16593,16546,18744,24959,31807,36278,40295,42899,54232,66356,79455,102548,95415,87569,95756,94994,86650,93643,97285,92100,102631,101417,104440,107883,102070,93077,87845,92127,97712,102762,107012,(NA)
 "56000","Wyoming",7,SAINC7S,530,"44","    Water transportation","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),196,289,(D),(D),(D),(NA)
 "56000","Wyoming",7,SAINC7S,540,"41, 45-47","    Other transportation","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),57017,58440,(D),66088,74104,(NA)
 "56000","Wyoming",7,SAINC7S,541,"41","     Local and interurban passenger transit","Thousands of dollars",1533,1526,1660,1738,1792,1738,1805,1804,1980,1953,1987,2090,2259,2324,2459,3236,3983,3535,3973,4803,5634,6634,7518,7759,7972,8023,7734,7967,6871,5849,5916,6632,6367,6833,6030,7026,8749,9645,(D),10777,(D),(D),11449,(NA)
 "56000","Wyoming",7,SAINC7S,542,"45","     Transportation by air","Thousands of dollars",619,755,790,895,777,963,1022,1175,1065,1158,1416,1540,1744,2057,2186,1985,2183,3237,3008,3792,4864,6046,7591,9810,10540,8921,8884,7782,7576,7902,18975,25654,20181,25515,26488,29380,26244,27496,27932,26847,28896,30605,38857,(NA)
 "56000","Wyoming",7,SAINC7S,543,"46","     Pipelines, except natural gas","Thousands of dollars",2917,2938,3705,3820,3733,3651,3467,3544,3411,3552,3955,4175,4430,3961,3824,3940,4468,5374,6006,6367,7472,8638,10716,11884,12863,11543,11454,10413,9519,8612,8775,9069,9094,10156,10080,10194,10234,9217,10077,10864,10542,11596,12012,(NA)
 "56000","Wyoming",7,SAINC7S,544,"47","     Transportation services","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9952,10511,(D),11786,(NA)
 "56000","Wyoming",7,SAINC7S,560,"48","    Communications","Thousands of dollars",7547,8030,8341,8715,8901,9174,9719,9991,10088,10407,11138,12086,13690,15462,17507,20745,24740,30299,35596,40091,48202,58292,67411,78345,78030,73528,63556,61547,57848,55254,55497,55669,59123,58152,57858,59951,61116,56991,58074,62274,72154,95390,94701,(NA)
 "56000","Wyoming",7,SAINC7S,570,"49","    Electric, gas, and sanitary services","Thousands of dollars",6478,7106,7921,10117,10860,11509,12282,11610,11257,11713,12636,13876,15451,18242,20773,23296,26470,33387,36370,42329,46936,58070,74955,91809,104778,109177,117590,129207,128752,125856,129192,131508,135733,139185,146475,150694,155686,157605,153435,160569,157507,154475,154399,(NA)
 "56000","Wyoming",7,SAINC7S,610,"F","   Wholesale trade","Thousands of dollars",16077,17974,19366,19998,20982,17480,20084,19046,19494,21074,22959,24265,27006,30388,31820,35997,48453,57603,70290,86082,109312,135681,172335,231466,230899,196137,203581,205538,183521,159636,160842,169789,163104,169138,176714,178097,189761,203510,208573,229317,240888,246670,261540,291538
 "56000","Wyoming",7,SAINC7S,620,"G","   Retail trade","Thousands of dollars",47829,51562,54749,55642,57600,58866,61310,63549,63912,66433,73218,79924,85325,92771,101751,114495,132808,154099,181317,210384,250024,288900,326115,362225,379728,368185,377010,388399,374945,357038,369119,385229,415663,443876,474098,506234,540669,565393,589267,612024,656201,691516,722442,755272
 "56000","Wyoming",7,SAINC7S,621,"52","    Building materials and garden equipment","Thousands of dollars",4974,5277,5428,5301,5369,5548,5804,6165,5857,5887,6455,7162,7280,7521,8499,9559,11647,12100,14375,16645,21170,24557,26441,28388,26829,25107,24581,23774,21331,19219,19218,20255,20065,21287,25047,26900,30957,34599,36406,38072,42693,44931,45443,(NA)
 "56000","Wyoming",7,SAINC7S,622,"53","    General merchandise stores","Thousands of dollars",5535,5715,5809,5948,6220,6536,7135,7251,7509,7575,8243,8990,9651,10542,11573,13752,15776,15901,17281,19457,22477,24995,28226,31199,32891,31719,31346,33117,33202,33175,33791,34392,40748,46034,50751,54050,58739,60211,59890,62695,77844,75433,80226,(NA)
 "56000","Wyoming",7,SAINC7S,623,"54","    Food stores","Thousands of dollars",6032,6623,6965,7357,7553,8002,8431,8891,9244,9504,10161,10715,11561,13103,13947,15648,18589,21824,26057,31594,38104,44840,54281,61462,66832,66929,68439,71792,70976,60182,61366,63792,67672,71892,73980,74755,76310,78698,81457,86832,90109,98698,95812,(NA)
